timestamp,scenario,point,equipment,value,units
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,OR1_TEMP_SP,VAV-OR-101,69.609,F
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,ISO201_PRESSURE,RM-ISO-201,-0.02,in.w.c.
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,ISO201_EXH_CMD,RM-ISO-201,1,bool
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,CHW_SUPPLY_TEMP,CHW-PLANT-1,44.164,F
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,CHW_DIFF_PRESSURE,CHW-PLANT-1,17.536,psi
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,HW_SUPPLY_TEMP,HW-PLANT-1,143.607,F
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SAT,RTU-1,54.612,F
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SAT_SP,RTU-1,54.836,F
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SUPPLY_FAN_CMD,RTU-1,1,bool
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_OA_DAMPER_POS,RTU-1,48.64,%
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_MA_TEMP,RTU-1,63.864,F
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_TEMP,VAV-301,72.438,F
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_TEMP_SP,VAV-301,71.904,F
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_REHEAT_VLV_POS,VAV-301,14.127,%
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,CHILLER1_CHW_SUPPLY_TEMP,CHILLER-1,44.398,F
2026-06-25T12:02:00+00:00,AHU_OR1_FAN_FAILURE,BOILER1_HW_SUPPLY_TEMP,BOILER-1,144.812,F
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_SAT,AHU-OR-1,56.021,F
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_SAT_SP,AHU-OR-1,54.612,F
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_FAN_CMD,AHU-OR-1,1,bool
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_CHW_VLV_POS,AHU-OR-1,31.667,%
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_STRAINER_DP,AHU-OR-1,2.131,psid
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_DRAIN_SWITCH,AHU-OR-1,0,bool
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,OR1_TEMP,VAV-OR-101,69.982,F
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,OR1_RH,VAV-OR-101,48.468,%RH
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,OR1_TEMP_SP,VAV-OR-101,70.32,F
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,ISO201_PRESSURE,RM-ISO-201,-0.021,in.w.c.
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,ISO201_EXH_CMD,RM-ISO-201,1,bool
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,CHW_SUPPLY_TEMP,CHW-PLANT-1,44.058,F
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,CHW_DIFF_PRESSURE,CHW-PLANT-1,16.524,psi
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,HW_SUPPLY_TEMP,HW-PLANT-1,147.036,F
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SAT,RTU-1,54.368,F
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SAT_SP,RTU-1,55.207,F
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SUPPLY_FAN_CMD,RTU-1,1,bool
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_OA_DAMPER_POS,RTU-1,56.735,%
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_MA_TEMP,RTU-1,63.926,F
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_TEMP,VAV-301,72.357,F
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_TEMP_SP,VAV-301,72.053,F
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_REHEAT_VLV_POS,VAV-301,12.577,%
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,CHILLER1_CHW_SUPPLY_TEMP,CHILLER-1,43.622,F
2026-06-25T12:03:00+00:00,AHU_OR1_FAN_FAILURE,BOILER1_HW_SUPPLY_TEMP,BOILER-1,144.0,F
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_SAT,AHU-OR-1,56.048,F
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_SAT_SP,AHU-OR-1,55.478,F
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_FAN_CMD,AHU-OR-1,1,bool
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_CHW_VLV_POS,AHU-OR-1,32.022,%
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_STRAINER_DP,AHU-OR-1,2.255,psid
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_DRAIN_SWITCH,AHU-OR-1,0,bool
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,OR1_TEMP,VAV-OR-101,69.799,F
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,OR1_RH,VAV-OR-101,42.974,%RH
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,OR1_TEMP_SP,VAV-OR-101,69.69,F
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,ISO201_PRESSURE,RM-ISO-201,-0.021,in.w.c.
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,ISO201_EXH_CMD,RM-ISO-201,1,bool
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,CHW_SUPPLY_TEMP,CHW-PLANT-1,44.152,F
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,CHW_DIFF_PRESSURE,CHW-PLANT-1,18.18,psi
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,HW_SUPPLY_TEMP,HW-PLANT-1,143.665,F
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SAT,RTU-1,54.478,F
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SAT_SP,RTU-1,55.115,F
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SUPPLY_FAN_CMD,RTU-1,1,bool
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_OA_DAMPER_POS,RTU-1,57.658,%
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_MA_TEMP,RTU-1,65.742,F
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_TEMP,VAV-301,71.907,F
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_TEMP_SP,VAV-301,71.84,F
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_REHEAT_VLV_POS,VAV-301,15.294,%
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,CHILLER1_CHW_SUPPLY_TEMP,CHILLER-1,43.815,F
2026-06-25T12:04:00+00:00,AHU_OR1_FAN_FAILURE,BOILER1_HW_SUPPLY_TEMP,BOILER-1,145.87,F
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_SAT,AHU-OR-1,56.876,F
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_SAT_SP,AHU-OR-1,55.053,F
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_FAN_CMD,AHU-OR-1,1,bool
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_CHW_VLV_POS,AHU-OR-1,31.872,%
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_STRAINER_DP,AHU-OR-1,2.557,psid
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_DRAIN_SWITCH,AHU-OR-1,0,bool
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,OR1_TEMP,VAV-OR-101,70.033,F
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,OR1_RH,VAV-OR-101,47.79,%RH
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,OR1_TEMP_SP,VAV-OR-101,69.784,F
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,ISO201_PRESSURE,RM-ISO-201,-0.018,in.w.c.
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,ISO201_EXH_CMD,RM-ISO-201,1,bool
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,CHW_SUPPLY_TEMP,CHW-PLANT-1,44.159,F
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,CHW_DIFF_PRESSURE,CHW-PLANT-1,17.724,psi
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,HW_SUPPLY_TEMP,HW-PLANT-1,146.885,F
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SAT,RTU-1,55.66,F
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SAT_SP,RTU-1,55.184,F
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SUPPLY_FAN_CMD,RTU-1,1,bool
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_OA_DAMPER_POS,RTU-1,52.804,%
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_MA_TEMP,RTU-1,65.691,F
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_TEMP,VAV-301,71.969,F
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_TEMP_SP,VAV-301,72.176,F
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_REHEAT_VLV_POS,VAV-301,12.519,%
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,CHILLER1_CHW_SUPPLY_TEMP,CHILLER-1,43.861,F
2026-06-25T12:05:00+00:00,AHU_OR1_FAN_FAILURE,BOILER1_HW_SUPPLY_TEMP,BOILER-1,145.952,F
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_SAT,AHU-OR-1,56.53,F
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_SAT_SP,AHU-OR-1,55.563,F
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_FAN_CMD,AHU-OR-1,1,bool
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_CHW_VLV_POS,AHU-OR-1,27.106,%
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_STRAINER_DP,AHU-OR-1,2.217,psid
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_DRAIN_SWITCH,AHU-OR-1,0,bool
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,OR1_TEMP,VAV-OR-101,69.996,F
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,OR1_RH,VAV-OR-101,46.595,%RH
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,OR1_TEMP_SP,VAV-OR-101,69.813,F
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,ISO201_PRESSURE,RM-ISO-201,-0.02,in.w.c.
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,ISO201_EXH_CMD,RM-ISO-201,1,bool
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,CHW_SUPPLY_TEMP,CHW-PLANT-1,44.061,F
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,CHW_DIFF_PRESSURE,CHW-PLANT-1,17.778,psi
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,HW_SUPPLY_TEMP,HW-PLANT-1,143.476,F
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SAT,RTU-1,54.793,F
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SAT_SP,RTU-1,55.068,F
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SUPPLY_FAN_CMD,RTU-1,1,bool
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_OA_DAMPER_POS,RTU-1,58.601,%
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_MA_TEMP,RTU-1,64.73,F
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_TEMP,VAV-301,72.453,F
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_TEMP_SP,VAV-301,71.977,F
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_REHEAT_VLV_POS,VAV-301,12.225,%
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,CHILLER1_CHW_SUPPLY_TEMP,CHILLER-1,44.453,F
2026-06-25T12:06:00+00:00,AHU_OR1_FAN_FAILURE,BOILER1_HW_SUPPLY_TEMP,BOILER-1,144.283,F
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_SAT,AHU-OR-1,57.675,F
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_SAT_SP,AHU-OR-1,54.522,F
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_FAN_CMD,AHU-OR-1,1,bool
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_CHW_VLV_POS,AHU-OR-1,30.319,%
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_STRAINER_DP,AHU-OR-1,2.18,psid
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_DRAIN_SWITCH,AHU-OR-1,0,bool
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,OR1_TEMP,VAV-OR-101,69.865,F
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,OR1_RH,VAV-OR-101,44.987,%RH
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,OR1_TEMP_SP,VAV-OR-101,70.029,F
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,ISO201_PRESSURE,RM-ISO-201,-0.022,in.w.c.
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,ISO201_EXH_CMD,RM-ISO-201,1,bool
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,CHW_SUPPLY_TEMP,CHW-PLANT-1,43.998,F
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,CHW_DIFF_PRESSURE,CHW-PLANT-1,17.135,psi
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,HW_SUPPLY_TEMP,HW-PLANT-1,147.289,F
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SAT,RTU-1,54.747,F
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SAT_SP,RTU-1,55.063,F
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SUPPLY_FAN_CMD,RTU-1,1,bool
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_OA_DAMPER_POS,RTU-1,45.101,%
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_MA_TEMP,RTU-1,63.616,F
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_TEMP,VAV-301,72.113,F
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_TEMP_SP,VAV-301,72.011,F
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_REHEAT_VLV_POS,VAV-301,12.886,%
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,CHILLER1_CHW_SUPPLY_TEMP,CHILLER-1,44.279,F
2026-06-25T12:07:00+00:00,AHU_OR1_FAN_FAILURE,BOILER1_HW_SUPPLY_TEMP,BOILER-1,145.088,F
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_SAT,AHU-OR-1,57.636,F
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_SAT_SP,AHU-OR-1,55.443,F
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_FAN_CMD,AHU-OR-1,1,bool
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_CHW_VLV_POS,AHU-OR-1,32.695,%
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_STRAINER_DP,AHU-OR-1,2.462,psid
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_DRAIN_SWITCH,AHU-OR-1,0,bool
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,OR1_TEMP,VAV-OR-101,70.189,F
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,OR1_RH,VAV-OR-101,47.396,%RH
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,OR1_TEMP_SP,VAV-OR-101,69.936,F
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,ISO201_PRESSURE,RM-ISO-201,-0.021,in.w.c.
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,ISO201_EXH_CMD,RM-ISO-201,1,bool
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,CHW_SUPPLY_TEMP,CHW-PLANT-1,43.526,F
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,CHW_DIFF_PRESSURE,CHW-PLANT-1,16.027,psi
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,HW_SUPPLY_TEMP,HW-PLANT-1,146.5,F
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SAT,RTU-1,55.422,F
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SAT_SP,RTU-1,55.051,F
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_SUPPLY_FAN_CMD,RTU-1,1,bool
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_OA_DAMPER_POS,RTU-1,47.85,%
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,RTU1_MA_TEMP,RTU-1,65.297,F
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_TEMP,VAV-301,72.048,F
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_TEMP_SP,VAV-301,72.165,F
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,VAV301_REHEAT_VLV_POS,VAV-301,11.72,%
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,CHILLER1_CHW_SUPPLY_TEMP,CHILLER-1,44.378,F
2026-06-25T12:08:00+00:00,AHU_OR1_FAN_FAILURE,BOILER1_HW_SUPPLY_TEMP,BOILER-1,145.488,F
2026-06-25T12:09:00+00:00,AHU_OR1_FAN_FAILURE,AHU_OR1_SAT,AHU-OR-1,58.131,F
